stasjonsID;stasjonsnavn;lengdegrad;breddegrad;temperatur_degC;temperaturnormal_degC;temperaturavvik_degC;nedbor_mm;nedbornormal_mm;nedbor_prosent_av_normal
SN23500;Løken i Volbu;9.06300;61.12200;9.4;8.6;0.8;31.0;55.0;56.4
SN23550;Beitostølen;8.92257;61.25094;7.0;6.3;0.7;39.3;67.0;58.7
SN23560;Beito;8.85570;61.24330;;;;46.0;75.0;61.3
SN23720;Vang i Valdres;8.56900;61.12400;;;;44.8;57.0;78.6
SN24600;Krødsherad;9.59606;60.13710;;;;38.6;95.0;40.6
SN24710;Gulsvik;9.60500;60.38300;12.2;11.1;1.1;28.5;78.0;36.5
SN24890;Nesbyen;9.13233;60.56692;10.5;9.7;0.8;20.3;49.0;41.4
SN25100;Hemsedal;8.52850;60.87030;;;;46.3;85.0;54.5
SN25110;Hemsedal;8.59294;60.85486;8.4;7.8;0.6;;;
SN25112;Hollekolten;8.51750;60.87050;8.2;7.4;0.8;;;
SN25115;Hemsedal Skis;8.49680;60.83970;4.9;3.5;1.4;;;
SN25630;Geilo;8.19510;60.52990;8.2;7.4;0.8;47.7;61.0;78.2
SN25830;Finse;7.52700;60.59380;5.5;4.9;0.6;134.7;130.0;103.6
SN26060;Skotselv;9.89480;59.83870;12.5;11.6;0.9;;;
SN2650;Aurskog;11.58020;59.91180;11.7;10.5;1.2;47.8;68.0;70.3
SN26500;Geithus ;9.97280;59.92020;13.4;10.9;2.5;;;
SN26580;Bangeløkka;10.21420;59.73104;13.7;12.4;1.3;45.1;;
SN26590;Drammen Sletta;10.23120;59.74450;14.2;12.5;1.7;37.6;;
SN26594;Danvik ;10.19730;59.73270;;;;37.1;88.0;42.2
SN26630;Vestfossen ;9.87280;59.73230;12.9;11.7;1.2;31.4;;
SN26670;Hakavik;9.95340;59.62515;;;;32.5;102.0;31.9
